gene,log2FC,pvalue,padj
ENSSSCG00000006718,0.6001655687203595,0.020240570577077482,1.0
ENSSSCG00000035037,1.7269522959502583,0.020240570577077482,1.0
ENSSSCG00000045171,1.4484001443347914,0.020240570577077482,1.0
ENSSSCG00000032994,0.2904864521661752,0.020240570577077482,1.0
ENSSSCG00000016903,-0.8215494885628325,0.020240570577077482,1.0
ENSSSCG00000027118,0.20446539898331514,0.020240570577077482,1.0
ENSSSCG00000016436,0.5385775229635086,0.020240570577077482,1.0
ENSSSCG00000033177,-0.307171587081033,0.020240570577077482,1.0
ENSSSCG00000011318,-0.652738141208071,0.020240570577077482,1.0
ENSSSCG00000026425,1.1663819791838304,0.020240570577077482,1.0
ENSSSCG00000011448,0.4059779963436796,0.020240570577077482,1.0
ENSSSCG00000027301,-0.34661334801568894,0.020240570577077482,1.0
ENSSSCG00000042429,0.10285995577981703,0.02776836348733623,1.0
ENSSSCG00000038851,-0.06837302446300635,0.028440662266474792,1.0
ENSSSCG00000012780,0.1970186678798571,0.02948000704942128,1.0
ENSSSCG00000033245,0.18562668737615562,0.02948000704942128,1.0
ENSSSCG00000050688,0.1462037999787678,0.02948000704942128,1.0
ENSSSCG00000046125,-0.07219449923677249,0.02948000704942128,1.0
ENSSSCG00000031423,0.15779244849432533,0.03034794173956043,1.0
ENSSSCG00000041320,0.16168498173770007,0.03034794173956043,1.0
ENSSSCG00000008593,0.29372960367196344,0.030638987937703265,1.0
ENSSSCG00000007968,1.078688077611357,0.030638987937703265,1.0
ENSSSCG00000007248,0.3724571423219958,0.030638987937703265,1.0
ENSSSCG00000043854,0.1625226142078836,0.030638987937703265,1.0
ENSSSCG00000034609,0.3830473524733245,0.030638987937703265,1.0
ENSSSCG00000032067,-0.27382351990815845,0.030638987937703265,1.0
ENSSSCG00000018942,0.18756290145392546,0.030638987937703265,1.0
ENSSSCG00000040503,1.1920723922275522,0.030638987937703265,1.0
ENSSSCG00000007668,0.5461732371643544,0.030638987937703265,1.0
ENSSSCG00000007507,1.5805697297375207,0.030638987937703265,1.0
ENSSSCG00000039160,0.9741713847755711,0.030638987937703265,1.0
ENSSSCG00000003998,0.6213699228366625,0.030638987937703265,1.0
ENSSSCG00000036265,0.381428853288482,0.030638987937703265,1.0
ENSSSCG00000038960,-0.28037421279797137,0.030638987937703265,1.0
ENSSSCG00000037663,0.5059765359662451,0.030638987937703265,1.0
ENSSSCG00000039330,0.947003231778607,0.030638987937703265,1.0
ENSSSCG00000032923,0.40294492240578644,0.030638987937703265,1.0
ENSSSCG00000030337,0.7646628950592869,0.030638987937703265,1.0
ENSSSCG00000035387,0.11752446526743815,0.030638987937703265,1.0
ENSSSCG00000031967,0.3550323591661737,0.030638987937703265,1.0
ENSSSCG00000034891,1.0542633173670737,0.030638987937703265,1.0
ENSSSCG00000008557,1.1286373637967735,0.030638987937703265,1.0
ENSSSCG00000011444,0.47076487756427055,0.030638987937703265,1.0
ENSSSCG00000018353,0.18238013811329978,0.030638987937703265,1.0
ENSSSCG00000029901,0.8112418876776131,0.030638987937703265,1.0
ENSSSCG00000003222,0.7220791265666862,0.030638987937703265,1.0
